,SVM,KStar,NaiveBayes,RandomSubspace,RandomForest,HoeffdingTree,NaiveBayes,AutoCorrelation,Dimensionality,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfClasses,NumberOfFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures
texture,0.999666,0.999458,0.937455,0.999222,0.943897,0.999353,0.998664,0.9981814875431897,0.007454545454545454,1.1981350593397597,-0.6055166227272727,0.2853136375729942,0.23320130174567713,11.0,41.0,0.0,0.0,0.0,97.5609756097561,2.4390243902439024
autoHorse,0.999012,0.990322,0.941092,0.991063,0.964744,0.970966,0.994173,,,,,,,,,,,,,
fri_c0_250_50,0.882109,0.885483,0.859392,0.84519,0.851873,0.683825,0.827421,-0.07853018258714839,0.204,-1.1619940919523395,-3.8682664755197607e-11,0.005331521721583016,0.9999999995965864,0.0,51.0,0.0,0.0,0.0,100.0,0.0
mfeat-fourier,0.982328,0.941305,0.955209,0.975235,0.957982,0.973205,0.976851,0.9954977488744372,0.0385,0.11900628082326806,0.13203208401769737,0.5447006835842777,0.0671079516668835,10.0,77.0,0.0,0.0,0.0,98.7012987012987,1.2987012987012987
volcanoes-b6,0.840015,0.885576,0.885111,0.507502,0.887502,0.780901,0.821185,0.9793661763254023,0.0003948667324777887,2.1686138790600675,343.9179968621919,0.5395403022076388,191.69141615168965,5.0,4.0,0.0,0.0,0.0,75.0,25.0
thyroid-allhypo,0.827145,0.782203,0.806037,0.774592,0.810071,0.802943,0.825698,0.4294390853876384,0.009642857142857142,67.68217904400375,46.566607194523804,4.054667134348194,17.836509114546317,5.0,27.0,74.07407407407408,0.0,0.0,22.22222222222222,77.77777777777779
tokyo1,0.983159,0.886149,0.913787,0.933425,0.943708,0.97368,0.978446,0.5313152400835073,0.04692387904066736,64.16495348236366,132026.10717505874,5.0087669412719364,154257.65039773815,2.0,45.0,2.2222222222222223,0.0,0.0,93.33333333333333,6.666666666666667
fri_c4_100_25,0.893519,0.953301,0.7697262479871175,0.700483,0.769726,0.714171,0.849436,-0.09975646539393965,0.26,-0.9699403848222312,1.60023460955251e-10,0.10371723009776194,1.0000000001005436,0.0,26.0,0.0,0.0,0.0,100.0,0.0
ar1,0.794643,0.907738,0.44246,0.539187,0.714782,0.800595,0.451389,0.875,0.24793388429752067,8.06905645504017,119.6140182388145,2.2481469430333365,232.2809081868085,2.0,30.0,3.3333333333333335,0.0,0.0,96.66666666666667,3.3333333333333335
rmftsa_ladata,0.956223,0.935929,0.876677,0.907744,0.918722,0.944032,0.944536,-0.4608481262327429,0.021653543307086614,1.5252459879764062,47.94832319255548,0.7944272871570203,8.174135557182938,0.0,11.0,0.0,0.0,0.0,100.0,0.0
madelon,0.726468,0.799897,0.643619,0.571548,0.641551,0.607519,0.903108,0.510580992689496,0.1926923076923077,0.08333149342441178,488.06103384615386,0.03294974368985296,24.752039667546956,2.0,501.0,0.19960079840319359,0.0,0.0,99.8003992015968,0.19960079840319359
wisconsin,0.597917,0.485844,0.612981,0.662393,0.592735,0.557746,0.580983,-29.740932642487046,0.17010309278350516,2.7229921781329183,86.31782083989377,1.1205560281472122,33.395154998878674,0.0,33.0,0.0,0.0,0.0,100.0,0.0
